Players,Salaries_2019,Salaries_2020,Salaries_2021,Salaries_2022,PER_2019,PER_2020,PER_2021,PER_2022
Stephen Curry,"$47,922,728","$50,899,072","$50,899,072","$50,899,072",,1.2046783625730997,1.0289855072463767,
Russell Westbrook,"$45,867,637","$48,949,159","$48,949,159","$48,949,159",1.105849582172702,1.1675824175824177,0.8892128279883383,
Chris Paul,"$45,867,637","$48,949,159","$48,949,159","$48,949,159",,0.93312101910828,,
James Harden,"$45,501,374","$48,826,198","$48,826,198","$48,826,198",1.2739726027397258,,1.005376344086021,0.9809782608695652
LeBron James,"$44,593,536","$46,417,307","$46,417,307","$46,417,307",1.1907514450867052,,,
Kyle Lowry,"$39,661,437","$36,097,489","$36,097,489","$36,097,489",0.8480662983425413,,,
Paul George,"$39,315,117","$41,956,422","$41,956,422","$41,956,422",,0.9881305637982194,,
Kemba Walker,"$39,001,178","$40,688,498","$40,688,498","$40,688,498",0.909967845659164,,,
Klay Thompson,"$39,001,178","$41,851,026","$41,851,026","$41,851,026",,,,0.8424242424242424
Kawhi Leonard,"$39,001,178","$40,688,498","$40,688,498","$40,688,498",1.1975308641975309,1.0703812316715542,,
Jimmy Butler,"$39,001,178","$40,688,498","$40,688,498","$40,688,498",0.9674556213017752,1.0654761904761902,,1.035928143712575
Tobias Harris,"$39,001,178","$40,664,532","$40,664,532","$40,664,532",0.8629737609329448,0.916923076923077,0.7787356321839082,
Kyrie Irving,"$37,810,011","$39,911,810","$39,911,810","$39,911,810",,1.0716332378223496,,1.002673796791444
Khris Middleton,"$36,453,806","$39,117,516","$39,117,516","$39,117,516",1.0100334448160535,0.9101796407185628,0.910493827160494,
Damian Lillard,"$35,499,530","$37,431,265","$37,431,265","$37,431,265",1.088,1.0810055865921788,,1.162534435261708
Nikola Vucevic,"$33,352,666","$30,771,630","$30,771,630","$30,771,630",1.0683229813664594,1.155223880597015,0.9637462235649544,
DeMar DeRozan,"$33,042,933","$32,830,932","$32,830,932","$32,830,932",0.9413489736070384,0.946587537091988,1.0166204986149583,0.9337016574585636
CJ McCollum,"$32,824,930","$34,741,350","$34,741,350","$34,741,350",0.8356164383561644,,0.8988439306358382,0.8470254957507083
Nikola Jokic,"$32,762,598","$34,963,685","$34,963,685","$34,963,685",1.10625,1.283236994219653,1.4149253731343283,1.320474777448071
Andrew Wiggins,"$32,762,598","$34,963,685","$34,963,685","$34,963,685",0.872093023255814,0.7807807807807807,0.755485893416928,
Joel Embiid,"$32,762,598","$34,963,685","$34,963,685","$34,963,685",,1.3247588424437298,1.3609467455621305,1.3497109826589595
Kristaps Porzingis,"$32,500,982","$34,875,855","$34,875,855","$34,875,855",1.0314465408805031,,,1.0613496932515336
Karl-Anthony Towns,"$32,500,982","$34,875,855","$34,875,855","$34,875,855",,,1.1077844311377247,
D'Angelo Russell,"$32,500,982","$33,907,081","$33,907,081","$33,907,081",0.9752321981424152,,0.853125,
Devin Booker,"$32,500,982","$34,875,855","$34,875,855","$34,875,855",0.9610027855153204,0.943952802359882,1.03768115942029,
Anthony Davis,"$32,272,300","$38,750,950","$38,750,950","$38,750,950",1.1598837209302324,,,
Bradley Beal,"$32,272,299","$34,028,421","$34,028,421","$34,028,421",1.0833333333333333,1.08659217877095,,
Jrue Holiday,"$31,126,508","$31,985,939","$31,985,939","$31,985,939",0.8645533141210374,0.8761609907120744,0.8784194528875381,0.9355828220858898
LaMarcus Aldridge,"$30,970,332","$20,863,567","$20,863,567","$20,863,567",0.8942598187311177,,,
Giannis Antetokounmpo,"$30,782,958","$32,580,159","$32,580,159","$32,580,159",1.5460526315789471,1.3333333333333337,1.4133738601823709,1.442367601246106
Harrison Barnes,"$28,763,967","$26,293,066","$26,293,066","$26,293,066",,,0.7083333333333333,
