Players,Salaries_2019,Salaries_2020,Salaries_2021,Salaries_2022
Stephen Curry,"$47,922,728","$50,899,072","$50,899,072","$50,899,072"
Russell Westbrook,"$45,867,637","$48,949,159","$48,949,159","$48,949,159"
Chris Paul,"$45,867,637","$48,949,159","$48,949,159","$48,949,159"
James Harden,"$45,501,374","$48,826,198","$48,826,198","$48,826,198"
John Wall,"$45,501,374","$48,826,198","$48,826,198","$48,826,198"
LeBron James,"$44,593,536","$46,417,307","$46,417,307","$46,417,307"
Kevin Durant,"$44,310,208","$47,469,914","$47,469,914","$47,469,914"
Blake Griffin,"$41,035,648","$40,121,756","$40,121,756","$40,121,756"
Kyle Lowry,"$39,661,437","$36,097,489","$36,097,489","$36,097,489"
Paul George,"$39,315,117","$41,956,422","$41,956,422","$41,956,422"
Kemba Walker,"$39,001,178","$40,688,498","$40,688,498","$40,688,498"
Klay Thompson,"$39,001,178","$41,851,026","$41,851,026","$41,851,026"
Kawhi Leonard,"$39,001,178","$40,688,498","$40,688,498","$40,688,498"
Jimmy Butler,"$39,001,178","$40,688,498","$40,688,498","$40,688,498"
Tobias Harris,"$39,001,178","$40,664,532","$40,664,532","$40,664,532"
Gordon Hayward,"$38,951,971","$33,730,441","$33,730,441","$33,730,441"
Mike Conley,"$38,726,761","$40,834,109","$40,834,109","$40,834,109"
Kyrie Irving,"$37,810,011","$39,911,810","$39,911,810","$39,911,810"
Khris Middleton,"$36,453,806","$39,117,516","$39,117,516","$39,117,516"
Paul Millsap,"$36,151,907","$11,953,594","$11,953,594","$11,953,594"
Damian Lillard,"$35,499,530","$37,431,265","$37,431,265","$37,431,265"
Kevin Love,"$34,475,733","$36,994,903","$36,994,903","$36,994,903"
Nikola Vucevic,"$33,352,666","$30,771,630","$30,771,630","$30,771,630"
Al Horford,"$33,352,666","$32,546,916","$32,546,916","$32,546,916"
DeMar DeRozan,"$33,042,933","$32,830,932","$32,830,932","$32,830,932"
CJ McCollum,"$32,824,930","$34,741,350","$34,741,350","$34,741,350"
Nikola Jokic,"$32,762,598","$34,963,685","$34,963,685","$34,963,685"
Andrew Wiggins,"$32,762,598","$34,963,685","$34,963,685","$34,963,685"
Joel Embiid,"$32,762,598","$34,963,685","$34,963,685","$34,963,685"
Kristaps Porzingis,"$32,500,982","$34,875,855","$34,875,855","$34,875,855"
Karl-Anthony Towns,"$32,500,982","$34,875,855","$34,875,855","$34,875,855"
D'Angelo Russell,"$32,500,982","$33,907,081","$33,907,081","$33,907,081"
Devin Booker,"$32,500,982","$34,875,855","$34,875,855","$34,875,855"
Otto Porter,"$32,459,977","$33,717,705","$33,717,705","$33,717,705"
Anthony Davis,"$32,272,300","$38,750,950","$38,750,950","$38,750,950"
Andre Drummond,"$32,272,299","$34,028,421","$34,028,421","$34,028,421"
Hassan Whiteside,"$32,272,299","$2,745,828","$2,745,828","$2,745,828"
